"id","amountSpent","firstName","lastName","emailAddress","marketingState"
"8781352534131","9857.0 CAD","Theish","Stautaus","theish.stautaus3968@example.com","NOT_SUBSCRIBED"
"8781184237683","9793.0 CAD","Greal","Email","greal4301@example.org","NOT_SUBSCRIBED"
"8781184041075","9633.0 CAD","Aloand","Drash","aloanddrash2119@example.com","NOT_SUBSCRIBED"
"8781199343731","9311.0 CAD","Saaey","Oleyy","saaey.oleyy@example.net","NOT_SUBSCRIBED"
"8781343457395","9219.0 CAD","Frauton","Bruid","frauton.bruid@example.net","NOT_SUBSCRIBED"
"8781351780467","9110.0 CAD","Greing","Trason","greing9234@example.org","NOT_SUBSCRIBED"
"8781346078835","9011.0 CAD","Paush","Veand","paush.veand8725@example.com","NOT_SUBSCRIBED"
"8781184270451","9005.0 CAD","Jaywell","Vuith","jaywell.vuith@example.net","NOT_SUBSCRIBED"
"8781347094643","8947.0 CAD","Chrouckooy","Isirairt","chrouckooy9167@example.org","NOT_SUBSCRIBED"
"8781184565363","8573.0 CAD","Grayck","Veey","grayck_veey@example.com","NOT_SUBSCRIBED"
"8781351092339","8296.0 CAD","Layton","Chraywell","laytonchraywell7763@example.com","NOT_SUBSCRIBED"
"8781183582323","7888.0 CAD","Emoor","Thoom","emoor_thoom@example.com","NOT_SUBSCRIBED"
"8781184434291","7530.0 CAD","Thoot","Grool","thootgrool7648@example.com","NOT_SUBSCRIBED"
"8781199376499","6658.0 CAD","Chrouson","Aleed","chrouson5930@example.org","NOT_SUBSCRIBED"
"8781349355635","5426.0 CAD","Peed","Emoang","peedemoang9976@example.com","NOT_SUBSCRIBED"
"8781346865267","4826.0 CAD","Saaygheer","Enam","saaygheer8287@example.org","NOT_SUBSCRIBED"
"8781351256179","4547.0 CAD","Oleythaer","Anoongees","oleythaer6625@example.org","NOT_SUBSCRIBED"
"8781351321715","4323.0 CAD","Enaelies","Aluing","enaeliesaluing460@example.com","NOT_SUBSCRIBED"
"8781340278899","4173.0 CAD","Raison","Jashod","raison.jashod605@example.com","NOT_SUBSCRIBED"
"8781343064179","3809.0 CAD","Roang","Aneesaysh","roang_aneesaysh@example.com","NOT_SUBSCRIBED"
"8781342212211","3660.0 CAD","Wath","Poom","wath.poom5866@example.com","NOT_SUBSCRIBED"
"8781349060723","2998.0 CAD","Saoar","Elaiwell","saoar7265@example.org","NOT_SUBSCRIBED"
"8781343916147","2975.0 CAD","Shaush","Chruirart","shaush.chruirart3402@example.com","NOT_SUBSCRIBED"
"8781339918451","2747.0 CAD","Vul","Chraeghaeck","vul.chraeghaeck6673@example.com","NOT_SUBSCRIBED"
"8781200097395","2464.0 CAD","Theesh","Peynd","theesh_peynd@example.com","NOT_SUBSCRIBED"
"8781348307059","2397.0 CAD","Las","Odeed","las4895@example.org","NOT_SUBSCRIBED"
"8781199442035","2383.0 CAD","Chrul","Aleath","chrul281@example.org","NOT_SUBSCRIBED"
"8781352239219","2324.0 CAD","Aluwell","Odut","aluwellodut7279@example.com","NOT_SUBSCRIBED"
"8781218250867","2267.0 CAD","Moosh","Vauleyr","moosh4285@example.org","NOT_SUBSCRIBED"
"8781343621235","2035.0 CAD","Green","Meish","green_meish@example.com","NOT_SUBSCRIBED"
"8781350043763","2001.0 CAD","Emoand","Isuidogh","emoandisuidogh6318@example.com","NOT_SUBSCRIBED"
"8781350699123","1980.0 CAD","Keewellauy","Saack","keewellauy.saack@example.net","NOT_SUBSCRIBED"
"8781344604275","1863.0 CAD","Juit","Drish","juit.drish6985@example.com","NOT_SUBSCRIBED"
"8781200031859","1641.0 CAD","Dreath","Eneyt","dreath.eneyt@example.net","NOT_SUBSCRIBED"
"8781343162483","1578.0 CAD","Drooseson","Aluickoush","drooseson6758@example.org","NOT_SUBSCRIBED"
"8781199474803","1514.0 CAD","Emoanguin","Stouwell","emoanguin.stouwell@example.net","NOT_SUBSCRIBED"
"8781184368755","1036.0 CAD","Odail","Droond","odail_droond@example.com","NOT_SUBSCRIBED"
"8781340901491","839.0 CAD","Anout","Gray","anout2973@example.org","NOT_SUBSCRIBED"
"8781339787379","100.0 CAD","Eneith","Fraid","eneith.fraid5509@example.com","NOT_SUBSCRIBED"
"8781241614451","0.0 CAD","Elayweller","Paend","elayweller_paend@example.com","NOT_SUBSCRIBED"
"8781281656947","0.0 CAD","Shoawell","Stuis","shoawell.stuis@example.net","NOT_SUBSCRIBED"
"8781301547123","0.0 CAD","Woumeigh","Reesh","woumeigh.reesh@example.net","NOT_SUBSCRIBED"
"8781336215667","0.0 CAD","Naus","Roart","naus.roart@example.net","NOT_SUBSCRIBED"
"8781336510579","0.0 CAD","Isayton","Reyd","isayton.reyd@example.net","NOT_SUBSCRIBED"
"8781336707187","0.0 CAD","Emaick","Gruirt","emaick.gruirt8708@example.com","NOT_SUBSCRIBED"
"8781336739955","0.0 CAD","Elaugh","Braygh","elaughbraygh5823@example.com","NOT_SUBSCRIBED"
"8781336936563","0.0 CAD","Mowell","Shouton","mowell.shouton2645@example.com","NOT_SUBSCRIBED"
"8781337362547","0.0 CAD","Noodaed","Vautert","noodaed8264@example.org","NOT_SUBSCRIBED"
"8781337460851","0.0 CAD","Chrooroos","Alaer","chrooroos_alaer@example.com","NOT_SUBSCRIBED"
"8781337919603","0.0 CAD","Naegh","Thuiton","naegh836@example.org","NOT_SUBSCRIBED"
